queryNumber;_f1Score
1;0.04545454545454545
2;
3;0.07547169811320754
4;
5;0.08510638297872342
6;0.058823529411764705
7;0.21052631578947364
8;
9;0.10000000000000002
10;0.11428571428571428
11;0.37499999999999994
12;
13;
14;
15;0.01754385964912281
16;0.021052631578947368
17;0.061538461538461535
18;0.3225806451612903
19;
20;0.07142857142857142
21;0.22857142857142856
22;0.049999999999999996
23;0.04444444444444444
24;0.04878048780487805
25;0.06557377049180327
26;0.04651162790697675
27;0.09523809523809525
28;0.06557377049180327
29;0.037037037037037035
30;0.07407407407407408
31;0.0588235294117647
32;0.2
33;0.23880597014925373
34;0.04081632653061225
35;0.3333333333333333
36;0.10526315789473685
37;0.16666666666666669
38;0.031746031746031744
39;0.046511627906976744
40;0.05128205128205128
41;0.24
42;0.10526315789473684
43;0.1111111111111111
44;0.10666666666666666
45;
46;
47;0.028571428571428574
48;0.05
49;0.1739130434782609
50;0.05714285714285714
51;0.00796812749003984
52;0.16666666666666669
53;0.24242424242424243
54;
55;
56;0.047619047619047616
57;0.06557377049180327
58;
59;
60;
61;0.024999999999999998
62;0.06493506493506494
63;0.04081632653061225
64;0.03333333333333333
65;
66;0.0547945205479452
67;
68;
69;0.16
70;0.07407407407407408
71;0.25
72;0.34782608695652173
73;0.21428571428571427
74;0.23529411764705882
75;0.25806451612903225
76;0.29629629629629634
77;0.08695652173913045
78;0.0689655172413793
79;0.03773584905660377
80;0.04545454545454545
81;0.05263157894736841
82;0.05555555555555555
83;0.09523809523809523
84;0.15384615384615385
85;
86;0.14035087719298245
87;0.041666666666666664
88;0.08333333333333333
89;
90;0.15789473684210525
91;0.012738853503184712
92;0.015503875968992248
94;0.1509433962264151
95;0.10526315789473685
96;0.1818181818181818
97;0.1904761904761905
98;0.16
99;0.26666666666666666
100;0.28571428571428564
