queryNumber;_precisionScore
1;0.0
2;0.0
3;0.2
4;0.0
5;0.8
6;0.2
7;0.4
8;0.0
9;0.0
10;0.0
11;0.6
12;0.0
13;0.0
14;0.0
15;0.0
16;0.4
17;0.2
18;0.6
19;0.0
20;0.4
21;0.6
22;0.0
23;0.0
24;0.2
25;0.4
26;0.2
27;0.2
28;0.2
29;0.0
30;0.0
31;0.0
32;0.6
33;0.8
34;0.2
35;0.6
36;0.0
37;1.0
38;0.0
39;0.4
40;0.6
41;0.2
42;0.6
43;0.4
44;1.0
45;0.0
46;0.0
47;0.2
48;0.0
49;0.6
50;0.2
51;0.2
52;0.2
53;0.4
54;0.0
55;0.0
56;0.2
57;0.2
58;0.0
59;0.0
60;0.0
61;0.0
62;0.6
63;0.0
64;0.0
65;0.0
66;0.2
67;0.0
68;0.0
69;0.2
70;0.2
71;0.4
72;0.6
73;0.4
74;0.2
75;0.4
76;0.6
77;0.6
78;0.2
79;0.0
80;0.2
81;0.2
82;0.0
83;0.4
84;0.2
85;0.0
86;0.2
87;0.2
88;0.2
89;0.0
90;0.4
91;0.2
92;0.0
94;0.2
95;0.2
96;0.4
97;0.2
98;0.2
99;0.4
100;0.4
