Query Number;R-Precision A/B
1;0.0
2;0.0
3;0.023255813953488386
4;0.1111111111111111
5;-0.007633587786259499
6;0.0
7;0.10714285714285715
8;0.045454545454545456
9;0.0
10;0.0
11;0.04545454545454547
12;0.0
13;0.0
14;0.0
15;0.028846153846153855
16;0.0
17;0.0
18;0.0
19;-0.045454545454545456
20;0.021739130434782608
21;0.08000000000000002
22;0.0
23;-0.05714285714285714
24;0.03225806451612903
25;0.0392156862745098
26;0.0
27;0.09090909090909091
28;-0.0196078431372549
29;0.0
30;0.0
31;0.01724137931034482
32;-0.033333333333333354
33;0.03508771929824561
34;0.0
35;0.0
36;0.0
37;0.010204081632653017
38;0.11320754716981132
39;0.024691358024691357
40;-0.00684931506849315
41;0.06666666666666665
42;0.0
43;0.0
44;0.0
45;0.0
46;0.0
47;0.0
48;-0.033333333333333326
49;0.1111111111111111
50;0.0
51;0.05809128630705393
52;0.0
53;0.0
54;0.0
55;0.041666666666666664
56;0.0
57;0.0
58;0.021052631578947364
59;0.013793103448275862
60;-0.02941176470588236
61;0.0
62;-0.013888888888888895
63;0.0
64;0.01999999999999999
65;-0.021276595744680854
66;0.0
67;0.0
68;0.02222222222222222
69;-0.06666666666666668
70;0.0
71;0.0
72;0.0
73;0.0
74;0.0
75;0.0
76;0.0
77;0.0
78;-0.012987012987012977
79;0.0
80;0.05882352941176472
81;0.0
82;0.0
83;0.0
84;0.0
85;0.03225806451612903
86;-0.021276595744680854
87;0.0
88;0.0
89;0.0
90;0.0
91;-0.003289473684210509
92;0.008403361344537813
94;0.046511627906976744
95;0.0
96;0.0
97;-0.09090909090909088
98;0.0
99;0.0
100;0.0
